,Week,month,day,Protocol,Happy photo time,Unhappy photo time,Happy avatar time,Unhappy avatar time,Initial Emotion rating,Final Emotion rating,Ease of use,Emotion change,comp_score
1,1,4.0,26.0,2,0.0,0.0,1.0,0.3333333333333333,0.5714285714285714,0.375,1.0,0.11111111111111113,pos
3,1,4.0,27.0,2,0.0,0.0,0.5,0.3333333333333333,0.5714285714285714,0.5,1.0,0.2,pos
5,1,4.0,28.0,2,0.0,0.0,0.25,0.3333333333333333,0.5714285714285714,0.25,1.0,0.022222222222222268,pos
7,1,4.0,29.0,2,0.0,0.0,0.25,0.3333333333333333,0.5714285714285714,0.375,1.0,0.11111111111111113,pos
9,1,4.0,30.0,2,0.0,0.0,0.25,0.3333333333333333,0.5714285714285714,0.375,1.0,0.11111111111111113,pos
14,2,5.0,1.0,4,0.0,0.0,1.0,0.0,0.8571428571428571,0.875,2.0,0.23809523809523817,pos
14,2,5.0,1.0,3,0.0,0.0,1.0,0.0,0.8571428571428571,0.875,2.0,0.23809523809523817,pos
15,2,5.0,3.0,3,0.0,0.0,0.5,0.0,0.14285714285714285,0.25,2.0,0.5555555555555556,pos
17,2,5.0,5.0,3,0.0,0.0,0.25,0.0,0.7142857142857142,0.5,2.0,0.11111111111111113,pos
17,2,5.0,5.0,4,0.0,0.0,0.25,0.0,0.7142857142857142,0.5,2.0,0.11111111111111113,pos
18,2,5.0,6.0,3,0.0,0.0,0.75,0.0,0.8571428571428571,1.0,2.0,0.3015873015873016,pos
19,2,5.0,7.0,4,0.0,0.0,0.25,0.0,0.14285714285714285,0.125,2.0,0.33333333333333326,pos
19,2,5.0,7.0,5,0.0,0.0,0.25,0.0,0.14285714285714285,0.125,2.0,0.33333333333333326,pos
20,2,5.0,7.0,4,0.0,0.0,0.5,0.0,0.2857142857142857,0.5,2.0,0.5555555555555556,pos
20,2,5.0,7.0,3,0.0,0.0,0.5,0.0,0.2857142857142857,0.5,2.0,0.5555555555555556,pos
28,3,5.0,10.0,6,0.0,0.0,0.25,0.0,0.14285714285714285,0.0,2.0,0.11111111111111113,neg
31,3,5.0,12.0,6,0.0,0.0,0.5,0.6666666666666666,0.42857142857142855,0.5,2.0,0.33333333333333326,pos
31,3,5.0,12.0,7,0.0,0.0,0.5,0.6666666666666666,0.42857142857142855,0.5,2.0,0.33333333333333326,pos
33,3,5.0,14.0,7,0.0,0.0,0.0,1.0,0.42857142857142855,0.625,2.0,0.4444444444444443,pos
33,3,5.0,14.0,6,0.0,0.0,0.0,1.0,0.42857142857142855,0.625,2.0,0.4444444444444443,pos
43,4,5.0,18.0,9,0.2272727272727273,0.0,0.0,0.3333333333333333,0.42857142857142855,0.375,2.0,0.2222222222222222,neg
45,4,5.0,20.0,9,0.4545454545454546,0.0,0.0,0.2,0.5714285714285714,0.625,2.0,0.28888888888888886,neg
63,5,5.0,26.0,13,0.0,0.0,0.25,0.0,0.5714285714285714,0.625,2.0,0.28888888888888886,pos
63,5,5.0,26.0,14,0.0,0.0,0.25,0.0,0.5714285714285714,0.625,2.0,0.28888888888888886,pos
65,5,5.0,27.0,12,0.0,0.0,0.25,0.13333333333333333,0.8571428571428571,0.625,3.0,0.11111111111111113,pos
70,6,5.0,30.0,16,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.25,2.0,0.11111111111111113,neu
70,6,5.0,30.0,15,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.25,2.0,0.11111111111111113,neu
73,6,6.0,1.0,16,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.375,2.0,0.2222222222222222,pos
73,6,6.0,1.0,15,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.375,2.0,0.2222222222222222,pos
