,Week,Date,Protocol,Happy photo time,Unhappy photo time,Happy avatar time,Unhappy avatar time,Initial Emotion rating,Final Emotion rating,Ease of use,Comments,Time,month,day,cleaned_comments,vader_neg,vader_neu,vader_pos,vader_comp,comp_score,Emotion change
0,1,2022-04-26 00:00:00,1,10.0,5.0,0.0,0.0,0.0,1.0,1.0,"Recalling memories that I haven't looked back on for a long time, it took me some effort to remember the details. When I think back to happy times, my thoughts dive into memories, linking to many people and events and forgetting that time passes. When I think back to the unhappy times, I feel a little resistant to thinking about the details. I feel like time is passing slowly and rushing to an end. ",2022-04-26,4.0,26.0,recalling memories that have looked back for long time took some effort remember the details when think back happy times thoughts dive into memories linking many people and events and forgetting that time passes when think back the unhappy times feel little resistant thinking about the details feel like time passing slowly and rushing end,0.046,0.852,0.102,0.5267,pos,0.19999999999999996
1,1,2022-04-26 00:00:00,2,0.0,0.0,20.0,5.0,0.0,0.0,1.0,"The interaction with the avatar was quite playful overall, and I even forgot about the emotions I had just fallen into. Whether she was in a positive or negative emotional mode, the VR avatar made the whole process very novel. Even if she was a negative emotion, her facial expressions are not stressful, but rather intriguing to me.",2022-04-26,4.0,26.0,the interaction with the avatar was quite playful overall and even forgot about the emotions had just fallen into whether she was positive negative emotional mode the avatar made the whole process very novel even she was negative emotion her facial expressions are not stressful but rather intriguing ,0.116,0.717,0.167,0.2249,pos,0.0
2,1,2022-04-27 00:00:00,1,5.0,5.0,0.0,0.0,0.0,1.0,1.0,"Repeating yesterday's practice, I was a little distracted when looking at the happy photos and still very resistant when looking at the unhappy photos (I wish it was less than 5 minutes). ",2022-04-27,4.0,27.0,repeating yesterday practice was little distracted when looking the happy photos and still very resistant when looking the unhappy photos wish was less than minutes,0.152,0.65,0.198,0.3597,pos,0.19999999999999996
3,1,2022-04-27 00:00:00,2,0.0,0.0,10.0,5.0,0.0,1.0,1.0,"It was still fun to interact with the avatar, and today I focused more on the VR surroundings. Overall, I feel like I can't relate VR to my childhood yet, I see her more as a friend.",2022-04-27,4.0,27.0, was still fun interact with the avatar and today focused more the surroundings overall feel like relate childhood yet see her more friend,0.0,0.615,0.385,0.8977,pos,0.19999999999999996
4,1,2022-04-28 00:00:00,1,10.0,10.0,0.0,0.0,0.0,0.0,1.0,"Trying to remember more about what happened in my childhood, one thing I noticed is that some of my decisions and behaviours nowadays are repeated over and over again. That is, whether it is good or bad behaviour, I am somehow unconsciously repeating the actions and decisions I made as a child. ",2022-04-28,4.0,28.0,trying remember more about what happened childhood one thing noticed that some decisions and behaviours nowadays are repeated over and over again that whether good bad behaviour somehow unconsciously repeating the actions and decisions made child,0.087,0.842,0.072,-0.1531,neg,0.0
5,1,2022-04-28 00:00:00,2,0.0,0.0,5.0,5.0,0.0,-1.0,1.0,"As for the avatar, although I can't think of her as myself, I feel like she is my sister.",2022-04-28,4.0,28.0, for the avatar although think her myself feel like she sister,0.0,0.8,0.2,0.3612,pos,-0.19999999999999996
6,1,2022-04-29 00:00:00,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,A very bad day personally. It's hard to focus when looking at photos and it was a very brief exercise.,2022-04-29,4.0,29.0, very bad day personally hard focus when looking photos and was very brief exercise,0.302,0.698,0.0,-0.6361,neg,0.0
7,1,2022-04-29 00:00:00,2,0.0,0.0,5.0,5.0,0.0,0.0,1.0,"I felt a bit more relaxed when interacting with the child, afterall who can bear to be angry with an innocent kid? Today's experience was very different from the previous days, and I felt more relief and rewarded for myself when I cared for the child.",2022-04-29,4.0,29.0, felt bit more relaxed when interacting with the child afterall who can bear angry with innocent kid today experience was very different from the previous days and felt more relief and rewarded for myself when cared for the child,0.064,0.636,0.3,0.9052,pos,0.0
8,1,2022-04-30 00:00:00,1,5.0,5.0,0.0,0.0,0.0,1.0,1.0,"Looking at the photos reminds me of a time that I cherish, and although it was accompanied by unhappy events, the overall feeling is a sense of relief",2022-04-30,4.0,30.0,looking the photos reminds time that cherish and although was accompanied unhappy events the overall feeling sense relief,0.117,0.583,0.3,0.5267,pos,0.19999999999999996
9,1,2022-04-30 00:00:00,2,0.0,0.0,5.0,5.0,0.0,0.0,1.0,"I try harder to think of the avatar as myself and try to imagine me doing those movements and expressions in the VR environment. Another thing that I can refer to is that in my life outside of practice, maybe when I'm tired and want to take a break, I suddenly think of the avatar and the familiarity made me feel relaxed. The difference is that I don't actively think of the photo.",2022-04-30,4.0,30.0, try harder think the avatar myself and try imagine doing those movements and expressions the environment another thing that can refer that life outside practice maybe when tired and want take break suddenly think the avatar and the familiarity made feel relaxed the difference that actively think the photo,0.053,0.823,0.124,0.4404,pos,0.0
15,2,2022-05-03 00:00:00,3,0.0,0.0,10.0,0.0,-3.0,-1.0,2.0,"These practices are becoming a daily ritual for me, and being able to repeat these familiar steps gives me a place to rest from the chaos of life. The process of singing along with the music and the freedom of imagination is always very enjoyable, I feel relaxed and my body stretches out more.
I have to say that the effectiveness of the exercises is also very much influenced by the mood of the day, and a positive or negative initial state can affect the attention being paidand efficiency of the exercises. So I have also started to record my mood evaluations before and after practice in order to better profile my emotions.
Furthermore, one of my confusions is that although this brings emotional relief and satisfaction, does it last long enough? My observation so far is that the high level of pleasure and satisfaction almost recedes 1 to 2 hours after the practice. The gap between reality and imagination brings about even more emotional depression as I get back to the hectic schedule and deal with the difficult issues in my life. Is there a more sensible way to manage imagination about the SAT, and can imagination really soothe people? Perhaps I'll explore this more in the next exercises.",2022-05-03,5.0,3.0,these practices are becoming daily ritual for and being able repeat these familiar steps gives place rest from the chaos life the process singing along with the music and the freedom imagination always very enjoyable feel relaxed and body stretches out more have say that the effectiveness the exercises also very much influenced the mood the day and positive negative initial state can affect the attention being paidand efficiency the exercises have also started record mood evaluations before and after practice order better profile emotions furthermore one confusions that although this brings emotional relief and satisfaction does last long enough observation far that the high level pleasure and satisfaction almost recedes hours after the practice the gap between reality and imagination brings about even more emotional depression get back the hectic schedule and deal with the difficult issues life there more sensible way manage imagination about the sat and can imagination really soothe people perhaps explore this more the next exercises,0.08,0.724,0.196,0.9681,pos,1.0
16,2,2022-05-05 00:00:00,1,5.0,0.0,0.0,0.0,0.0,1.0,2.0,"I stared at the photo first and then through VR. It occurred to me that practicing with the photos first made me more likely to associate the vivid images in the photos with myself, and hindered my association with the children later on. So I'll probably stop using photos and go straight to VR",2022-05-05,5.0,5.0, stared the photo first and then through occurred that practicing with the photos first made more likely associate the vivid images the photos with myself and hindered association with the children later probably stop using photos and straight ,0.055,0.898,0.047,-0.0772,neg,0.19999999999999996
18,2,2022-05-06 00:00:00,3,0.0,0.0,15.0,0.0,2.0,5.0,2.0,"I first select the most favourable song and then put on VR. Music really grabs my attention, especially strong rhythmic music that can get me into the zone.
When I'm done, I give myself another 20-30 minutes to think and let my imagination wander for a while. I feel that I have entered the flow state. I can feel that my brain is working at a high speed, thinking about some life insights and philosophies recalled from memories. Although most of the moments recalled still leave a deep impression and are about unhappy incidents, it is a very enjoyable feeling. Flow state is not so easy for me to enter, and I do not have the ability to flexibly enter or leave flow state in any occasion to achieve the purpose of high performance. My last high-quality flow state experience was a long period of immersion learning last year. Today's experience surprised me",2022-05-06,5.0,6.0, first select the most favourable song and then put music really grabs attention especially strong rhythmic music that can get into the zone when done give myself another minutes think and let imagination wander for while feel that have entered the flow state can feel that brain working high speed thinking about some life insights and philosophies recalled from memories although most the moments recalled still leave deep impression and are about unhappy incidents very enjoyable feeling flow state not easy for enter and not have the ability flexibly enter leave flow state any occasion achieve the purpose high performance last highquality flow state experience was long period immersion learning last year today experience surprised ,0.075,0.811,0.114,0.7266,pos,0.42857142857142866
28,3,2022-05-10 00:00:00,6,0.0,0.0,5.0,0.0,-3.0,-3.0,2.0,"Today was a postponed exercise and it became apparent to me that imagination can be hindered when the brain is used excessively throughout the day. Because I have been studying for a long time and using my brain to a very high degree, it feels like the neurons in my brain are saturated with the connections that have been made, leaving very little room for imagination. As for the content of practice, I've had this preference for establishing pieces of the house in my head since I was little. It was more a matter of choosing my favourite pictures of housing interiors, such as design images for rooms, furniture and decorations. Then I always found the one I was most satisfied with and carefully saved them. That said, this exercise was quite familiar to me and I was able to relate it particularly well to those actions mine as a child. Although it is clear that today's exercise felt overwhelming, as brain and mind power tended to be near saturated and imagination was hindered. I would say that when I think about too many things in a day, having already made a lot of connections in the learning and thinking process, the parts left for my imagination to play with are somewhat limited. In other words, I can't really imagine what some specific house would look like, and concentrating on immersing myself in trying to come up with this house currently has some minor hindrances. But I'm sure this exercise is easy, I'm just saying it's been a bit busy lately.
A detail worth mentioning is that perhaps it's because of the connection I've built up with the kid over the last few weeks, coupled with my current state of emotional stress and anxiety, it seems that in the last few days I have returned to that fearful mental state of childhood ( although not when I was practising). I woke up one morning with a sudden recall of some of the anxiety and panic I had as a child due to fear of reprimand from parents and teachers.
",2022-05-10,5.0,10.0,today was postponed exercise and became apparent that imagination can hindered when the brain used excessively throughout the day because have been studying for long time and using brain very high degree feels like the neurons brain are saturated with the connections that have been made leaving very little room for imagination for the content practice had this preference for establishing pieces the house head since was little was more matter choosing favourite pictures housing interiors such design images for rooms furniture and decorations then always found the one was most satisfied with and carefully saved them that said this exercise was quite familiar and was able relate particularly well those actions mine child although clear that today exercise felt overwhelming brain and mind power tended near saturated and imagination was hindered would say that when think about too many things day having already made lot connections the learning and thinking process the parts left for imagination play with are somewhat limited other words really imagine what some specific house would look like and concentrating immersing myself trying come with this house currently has some minor hindrances but sure this exercise easy just saying been bit busy lately detail worth mentioning that perhaps because the connection built with the kid over the last few weeks coupled with current state emotional stress and anxiety seems that the last few days have returned that fearful mental state childhood although not when was practising woke one morning with sudden recall some the anxiety and panic had child due fear reprimand from parents and teachers,0.082,0.831,0.087,-0.6647,neg,0.0
29,3,2022-05-12 00:00:00,8,5.0,5.0,0.0,0.0,-3.0,-1.0,2.0,"With regards to making a connection with the natural world, I use the sky as a medium to connect with nature in a way. One reason for this is that I have loved looking at the sky since I was a child and when I first started learning creative writing, the metaphor was inspired by the clouds in the sky, which received a lot of praise at the time. That said, it was a very positive feedback thing for me and inspired my childhood learning because of that experience. So when I gaze at the sky, I get a sense of familiarity and feel transported back to that time.",2022-05-12,5.0,12.0,with regards making connection with the natural world use the sky medium connect with nature way one reason for this that have loved looking the sky since was child and when first started learning creative writing the metaphor was inspired the clouds the sky which received lot praise the time that said was very positive feedback thing for and inspired childhood learning because that experience when gaze the sky get sense familiarity and feel transported back that time,0.0,0.754,0.246,0.9726,pos,1.0
30,3,2022-05-12 00:00:00,8,5.0,5.0,0.0,0.0,-2.0,0.0,2.0,"One of my favourites is the link to nature; the sky is a natural scenery that is present everywhere and may be observed at any time. I can view the sky for practise just by glancing out the window and elevating my head because I spend so much time in the library. My tired eyes feltl a little eased and my mind felt a little wider after observing the blue undertones of the sky and the moving patterns of the clouds. It made me realise that I have such an all-encompassing presence of everything but the less-than-ideal, and I felt motivated.",2022-05-12,5.0,12.0,one favourites the link nature the sky natural scenery that present everywhere and may observed any time can view the sky for practise just glancing out the window and elevating head because spend much time the library tired eyes feltl little eased and mind felt little wider after observing the blue undertones the sky and the moving patterns the clouds made realise that have such allencompassing presence everything but the lessthanideal and felt motivated,0.025,0.884,0.091,0.6432,pos,0.6666666666666667
