,clusterid,agree,comment,retweet,sentiment
0,2,0,0,0,neg
1,3,0,0,0,neg
2,3,1,0,1,neu
3,3,1,0,1,neu
4,2,0,0,0,neg
5,3,0,0,0,neg
6,1,0,0,0,neg
7,1,0,0,0,neg
8,3,0,0,0,neg
9,1,0,0,0,neg
10,1,0,0,0,neg
11,3,0,0,0,neg
12,3,0,0,0,neg
13,1,0,0,0,neg
14,3,0,0,0,neu
15,2,0,0,0,neu
16,0,0,0,0,neg
17,3,0,0,0,neg
18,0,0,0,0,neu
19,0,0,0,0,neu
20,0,0,0,0,neu
21,1,0,0,0,neu
22,2,0,0,0,neu
23,0,0,0,0,neu
24,3,0,0,2,neu
25,3,0,0,2,neu
26,2,0,0,0,pos
27,2,0,0,0,pos
28,3,0,0,2,pos
29,3,0,0,2,pos
30,1,0,0,0,neg
31,2,0,0,0,neg
32,1,13,1,7,pos
33,1,13,1,7,pos
34,1,0,0,0,neu
35,1,0,0,0,neu
36,3,0,0,0,pos
37,1,0,0,0,pos
38,2,0,0,0,pos
39,0,0,0,0,pos
40,0,5,0,1,neu
41,0,5,0,1,neu
42,0,0,0,0,neu
43,2,0,0,0,neu
44,0,12,0,0,neg
45,0,12,0,0,neg
46,2,1,1,0,pos
47,2,1,1,0,pos
48,0,1,0,0,pos
49,0,1,0,0,pos
50,0,4,0,0,pos
51,0,4,0,0,pos
52,1,4,0,2,pos
53,1,4,0,2,pos
54,1,2,0,1,pos
55,1,2,0,1,pos
56,3,1,0,1,pos
57,3,1,0,1,pos
58,2,0,0,0,neu
59,2,0,0,0,neu
60,0,11,0,1,neu
61,0,11,0,1,neu
62,0,4,0,0,neg
63,0,4,0,0,neg
64,1,0,0,0,neg
65,0,0,0,0,neg
66,0,0,0,0,pos
67,2,0,0,0,pos
68,0,9,2,2,neg
69,0,9,2,2,neg
70,3,0,0,0,neg
71,1,0,0,0,neg
72,2,1,1,0,pos
73,2,1,1,0,pos
74,0,8,0,1,neg
75,0,8,0,1,neg
76,1,0,0,0,pos
77,2,0,0,0,pos
78,0,66,29,11,neg
79,0,66,29,11,neg
80,3,0,0,0,neg
81,0,0,0,0,neg
82,3,0,0,1,pos
83,3,0,0,1,pos
84,0,0,0,0,neg
85,0,0,0,0,neg
86,0,0,0,0,neg
87,2,0,0,0,neg
88,2,0,0,0,neg
89,2,0,0,0,neg
90,0,2,0,0,neu
91,0,2,0,0,neu
92,2,0,0,0,pos
93,1,0,0,0,pos
94,1,4,0,2,pos
95,1,4,0,2,pos
96,3,0,0,0,neu
97,3,0,0,0,neu
98,2,0,0,0,pos
99,2,0,0,0,pos
100,2,0,0,0,neu
101,1,0,0,0,neu
102,1,2,0,1,pos
103,1,2,0,1,pos
104,0,6,0,0,pos
105,0,6,0,0,pos
106,1,0,0,0,pos
107,1,0,0,0,pos
108,1,0,0,0,neg
109,0,0,0,0,neg
110,0,10,2,1,neu
111,0,10,2,1,neu
112,0,2,0,0,pos
113,0,2,0,0,pos
114,0,2,0,0,neu
115,0,2,0,0,neu
116,3,0,0,3,pos
117,3,0,0,3,pos
118,2,0,0,0,neu
119,3,0,0,0,neu
120,3,0,0,0,pos
121,0,0,0,0,pos
122,1,0,0,0,pos
123,2,0,0,0,pos
124,0,1,0,0,neu
125,0,1,0,0,neu
126,0,0,0,0,neu
127,3,0,0,0,neu
128,0,1,0,0,pos
129,0,1,0,0,pos
130,0,0,0,0,neu
131,2,0,0,0,neu
132,3,3,0,3,pos
133,3,3,0,3,pos
134,2,5,4,4,neu
135,2,5,4,4,neu
136,1,0,0,0,pos
137,0,0,0,0,pos
138,3,0,0,0,neg
139,1,0,0,0,neg
140,0,0,0,0,neu
141,2,0,0,0,neu
142,0,0,0,0,pos
143,2,0,0,0,pos
144,3,0,0,0,pos
145,3,0,0,0,pos
146,1,3,0,1,neu
147,1,3,0,1,neu
148,0,0,0,0,pos
149,1,0,0,0,pos
150,2,0,1,0,neu
151,2,0,1,0,neu
152,1,9,1,3,pos
153,1,9,1,3,pos
154,0,0,0,0,neu
155,3,0,0,0,neu
156,0,0,0,0,neu
157,3,0,0,0,neu
158,3,1,0,1,pos
159,3,1,0,1,pos
160,3,0,0,1,neu
161,3,0,0,1,neu
162,3,0,0,0,neu
163,1,0,0,0,neu
164,2,0,0,0,pos
165,2,0,0,0,pos
166,1,14,1,6,neu
167,1,14,1,6,neu
168,0,0,0,0,neu
169,2,0,0,0,neu
170,0,1,0,0,pos
171,0,1,0,0,pos
172,3,0,0,2,neu
173,3,0,0,2,neu
174,1,0,0,0,neg
175,3,0,0,0,neg
176,3,5,1,3,pos
177,3,5,1,3,pos
178,2,0,0,0,pos
179,3,0,0,0,pos
180,0,0,0,0,pos
181,2,0,0,0,pos
182,0,23,0,0,neu
183,0,23,0,0,neu
184,0,4,1,0,neu
185,0,4,1,0,neu
186,1,40,1,15,neu
187,1,40,1,15,neu
188,1,22,0,8,pos
189,1,22,0,8,pos
190,2,0,0,0,neu
191,2,0,0,0,neu
192,0,0,0,0,neg
193,0,0,0,0,neg
194,0,2,0,0,neu
195,0,2,0,0,neu
196,1,0,0,0,neu
197,0,0,0,0,neu
198,1,0,0,0,neu
199,0,0,0,0,neu
200,2,0,0,0,pos
201,3,0,0,0,pos
202,1,11,0,4,pos
203,1,11,0,4,pos
204,2,0,0,0,neu
205,2,0,0,0,neu
206,0,2,0,0,neu
207,0,2,0,0,neu
208,1,6,0,3,neu
209,1,6,0,3,neu
210,1,5,0,2,pos
211,1,5,0,2,pos
212,1,0,0,0,neu
213,0,0,0,0,neu
214,1,2,0,1,neg
215,1,2,0,1,neg
216,2,0,0,0,neu
217,1,0,0,0,neu
218,3,0,0,0,neu
219,2,0,0,0,neu
220,1,0,0,0,neu
221,3,0,0,0,neu
222,2,0,0,0,neu
223,2,0,0,0,neu
224,3,0,0,0,neu
225,2,0,0,0,neu
226,1,0,0,0,neu
227,3,0,0,0,neu
228,2,0,0,0,pos
229,0,0,0,0,pos
230,3,9,0,8,neu
231,3,9,0,8,neu
232,3,5,0,4,neu
233,3,5,0,4,neu
234,0,0,0,0,neg
235,2,0,0,0,neg
236,0,0,0,0,neu
237,3,0,0,0,neu
238,1,6,1,2,neu
239,1,6,1,2,neu
240,3,1,0,1,neg
241,3,1,0,1,neg
242,0,0,0,0,neu
243,3,0,0,0,neu
244,1,0,0,0,neu
