,words,count
0,dahongfei,22
1,wolfiezhao,22
2,crypto xrp,14
3,jack,14
4,ethereumjoseph cnbc nancycnbc,10
5,zhou xiaochuan,10
6,robert greene,8
7,richardturrin psbdc,8
8,jenzhuscott,8
9,betamoroney lexsokolin spirosmargaris,6
10,theblock wolfiezhao,6
11,jamesplloyd,6
12,richardturrin eyuan,4
13,thel,4
14,newsofbsc,4
15,michael heydave,4
16,nhaguma carmellecadet,4
17,xiongan,4
18,hamilton,4
19,optimalwin vtany,4
20,btctn officialprodax,4
21,mirkohumbert weiweidai,4
22,mattysino sallywang,4
23,rijingzhongwen china,4
24,jasuja richardturrin cgledhill,4
