,f0,f1,f2,f3,f4
0,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
1,0.24053222,0.24357218,-0.25909314,0.23450547,-0.24561375
2,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
3,0.35602885,0.40489608,-0.3967977,0.36339998,-0.39446628
4,0.35697317,0.40271276,-0.3993676,0.3605547,-0.38556898
5,0.417094,0.6112909,-0.51890814,0.4602936,-0.51878566
6,-0.14354628,-0.18896155,0.16925436,-0.15328512,0.16947058
7,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
8,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
9,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
10,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
11,0.35697317,0.40271276,-0.3993676,0.3605547,-0.38556898
12,0.3271656,0.3578741,-0.35898402,0.33061862,-0.35700214
13,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
14,1.048655,1.248889,-1.1917521,1.0793827,-1.1764251
15,0.75264025,0.9838818,-0.8909098,0.7980958,-0.8797662
16,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
17,0.41367722,0.503813,-0.47423425,0.43029743,-0.47162795
18,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
19,0.14868677,0.2526012,-0.19987062,0.17175111,-0.19697642
20,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
21,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
22,0.35093445,0.38468367,-0.38556936,0.35422295,-0.38229156
23,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
24,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
25,0.44273025,0.57436913,-0.5241113,0.46640992,-0.5109416
26,0.50162864,0.5676423,-0.56014955,0.5072938,-0.54601014
27,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
28,1.1075164,1.7937353,-1.445895,1.260101,-1.440362
29,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
30,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
31,0.6301942,0.96631867,-0.79985654,0.70745265,-0.8039174
32,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
33,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
34,0.52703893,0.6168873,-0.5963614,0.53860354,-0.58298695
35,0.47778702,0.5622024,-0.54122686,0.49079955,-0.5324577
36,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
37,0.7619188,0.9683494,-0.89071226,0.7997931,-0.8789104
38,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
39,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
40,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
41,0.37284523,0.42628574,-0.4165326,0.3807894,-0.41348934
42,-0.14354628,-0.18896155,0.16925436,-0.15328512,0.16947058
43,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
44,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
45,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
46,0.16197059,0.14725882,-0.16621199,0.1562461,-0.1645875
47,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
48,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
49,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
50,0.35602885,0.40489608,-0.3967977,0.36339998,-0.39446628
51,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
52,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
53,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
54,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
55,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
56,-0.14354628,-0.18896155,0.16925436,-0.15328512,0.16947058
57,0.38011009,0.496342,-0.44830725,0.40561318,-0.45010287
58,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
59,0.85520875,1.0455127,-0.9831635,0.88618517,-0.9689714
60,0.16462585,0.19711387,-0.18944553,0.16822708,-0.18108475
61,0.55103695,0.7889829,-0.6776583,0.6037791,-0.6785841
62,0.8618134,1.0283208,-0.9803275,0.8874253,-0.9675224
63,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
64,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
65,0.27639347,0.30041826,-0.30212364,0.2801442,-0.302894
66,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
67,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
68,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
69,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
70,0.35697317,0.40271276,-0.3993676,0.3605547,-0.38556898
71,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
72,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
73,0.37284517,0.42628568,-0.4165326,0.3807894,-0.41348934
