,f0,f1,f2,f3,f4
0,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
1,0.011198163,-0.0032794531,-0.012119581,0.020226061,0.009087351
2,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
3,0.55963635,-0.007052964,-0.0138533935,0.22382613,0.0076111504
4,0.2703555,-0.003847397,-0.012585227,0.095616445,0.008948651
5,1.0489547,-0.008044993,-0.014451217,0.33095908,0.0067329654
6,-0.32645983,-0.002646452,-0.010940641,-0.10860883,0.008619984
7,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
8,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
9,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
10,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
11,0.27035573,-0.003847382,-0.012585212,0.095616505,0.008948664
12,0.5792829,-0.0077911015,-0.014082514,0.24384601,0.0073292954
13,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
14,1.8562691,-0.017847365,-0.019430028,0.756368,0.003567826
15,1.4195629,-0.011615355,-0.015669277,0.47300476,0.005026445
16,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
17,0.60290563,-0.0062843515,-0.013700194,0.21587299,0.007869174
18,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
19,0.2961333,-0.0015487282,-0.012377385,0.066697,0.010062962
20,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
21,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
22,0.36650446,-0.0055018426,-0.013168549,0.15103282,0.008287915
23,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
24,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
25,0.6379181,-0.0060613044,-0.013244566,0.20015822,0.0076084463
26,0.41577455,-0.0050489996,-0.013645804,0.17294945,0.008818957
27,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
28,3.3616505,-0.016691644,-0.02206112,1.0706477,0.0037753247
29,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
30,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
31,2.2670646,-0.016240517,-0.018664774,0.7689951,0.003288933
32,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
33,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
34,0.5324787,-0.005623132,-0.013856084,0.20481895,0.00846728
35,0.6398008,-0.007321339,-0.013706623,0.23253982,0.007227927
36,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
37,1.39315,-0.0119049875,-0.016575139,0.5090089,0.0055657923
38,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
39,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
40,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
41,0.4490603,-0.005775099,-0.013354204,0.1736763,0.008141691
42,-0.32645983,-0.002646452,-0.010940641,-0.10860883,0.008619984
43,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
44,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
45,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
46,0.16603634,-0.005340055,-0.012384685,0.0878019,0.00811407
47,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
48,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
49,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
50,0.55963635,-0.007052964,-0.0138533935,0.22382613,0.0076111504
51,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
52,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
53,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
54,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
55,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
56,-0.32645983,-0.002646452,-0.010940641,-0.10860883,0.008619984
57,1.4049363,-0.013806808,-0.016841274,0.54166174,0.004661906
58,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
59,1.5026248,-0.014165684,-0.017800769,0.59892744,0.0050104302
60,0.06539139,-0.0022212001,-0.011887605,0.019763157,0.009676944
61,1.5225657,-0.011436653,-0.016347665,0.5139411,0.005466381
62,1.3257455,-0.012652744,-0.017197918,0.53227687,0.005700582
63,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
64,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
65,1.0306902,-0.012654648,-0.016023368,0.4408974,0.0052930387
66,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
67,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
68,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
69,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
70,0.2703555,-0.003847397,-0.012585227,0.095616445,0.008948651
71,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
