Year,第一产业GDP贡献率,第二产业GDP贡献率,第三产业GDP贡献率,就业人员,第一产业就业人员,第二产业就业人员,第三产业就业人员,总人口,0-14岁人口,15-64岁人口,65岁以上人口,总抚养比,少儿抚养比,老年抚养比,城镇失业率,人民币美元汇率,进出口总额,流通中现金(M0)供应量同比增长率(%),财政收入增长率,居民消费价格指数,商品零售价格指数,工业生产者出厂价格指数,工业生产者购进价格指数,固定资产投资价格指数,全社会固定资产投资,GDP,PGDP
1980,-4.8,85.6,19.2,42361,29122,7707,5532,98705,32384,70269,5754,54.7,46.5,8.2,4.9,149.84,570,29.3,1.2,107.5,106,100.5,116,108,910.9,4587.6,468
1981,40.5,17.7,41.8,43725,29777,8003,5945,100072,32384,70269,5754,54.7,46.5,8.2,3.8,170.5,735.34,14.5,1.4,102.5,102.4,100.2,116,108,961,4935.8,497
1982,38.6,28.8,32.6,45295,30859,8346,6090,101654,34146,62517,4991,62.6,54.6,8.0,3.2,189.25,771.37,10.8,3.1,102,101.9,99.8,116,108,1230.4,5373.4,533
1983,23.9,43.5,32.7,46436,31151,8679,6606,103008,32384,70269,5754,54.7,46.5,8.2,2.3,197.57,860.15,20.7,12.8,102,101.5,99.9,116,108,1430.1,6020.9,588
1984,25.6,42.7,31.7,48197,30868,9590,7739,104357,32384,70269,5754,54.7,46.5,8.2,1.9,232.7,1201.03,49.5,20.2,102.7,102.8,101.4,116,108,1832.9,7278.5,702
1985,4.1,61.2,34.8,49873,31130,10384,8359,105851,32384,70269,5754,54.7,46.5,8.2,1.8,293.67,2066.71,24.7,22,109.3,108.8,108.7,116,108,2543.2,9098.9,866
1986,9.8,53.2,36.9,51282,31254,11216,8811,107507,32384,70269,5754,54.7,46.5,8.2,2,345.28,2580.37,23.3,5.8,106.5,106,103.8,116,108,3120.6,10376.2,973
1987,10.2,55,34.8,52783,31663,11726,9395,109300,31347,71985,5902,51.8,43.5,8.3,2,372.21,3084.16,19.4,3.6,107.3,107.3,107.9,116,108,3791.7,12174.6,1123
1988,5.4,61.3,33.4,54334,32249,12152,9933,111026,32384,70269,5754,54.7,46.5,8.2,2,372.21,3821.79,46.7,7.2,118.8,118.5,115,116,108,4753.8,15180.4,1378
1989,15.9,44,40.1,55329,33225,11976,10129,112704,32384,70269,5754,54.7,46.5,8.2,2.6,376.51,4155.92,9.8,13.1,118,117.8,118.6,126.4,108,4410.4,17179.7,1536
1990,40.2,39.8,20,64749,38914,13856,11979,114333,31659,76306,6368,49.8,41.5,8.3,2.5,478.32,5560.12,12.8,10.2,103.1,102.1,104.1,105.6,108,4517,18872.9,1663
1991,6.8,61.1,32.2,65491,39098,14015,12378,115823,32095,76791,6938,50.8,41.8,9.0,2.3,532.33,7225.75,20.2,7.2,103.4,102.9,106.2,109.1,109.5,5594.5,22005.6,1912
