Date,GDP
2021年第二季度,282857.4
2021年第一季度,249310.1
2020年第四季度,296297.8
2020年第三季度,264976.3
2020年第二季度,248985.1
2020年第一季度,205727
2019年第四季度,276798
2019年第三季度,251046.3
2019年第二季度,241502.6
2019年第一季度,217168.3
2018年第四季度,258808.9
2018年第三季度,234474.3
2018年第二季度,223962.2
2018年第一季度,202035.7
2017年第四季度,235428.7
2017年第三季度,212789.3
2017年第二季度,201950.3
2017年第一季度,181867.7
2016年第四季度,211566.2
2016年第三季度,191010.6
2016年第二季度,181408.2
2016年第一季度,162410
2015年第四季度,192572.9
2015年第三季度,176597.7
2015年第二季度,168549.7
2015年第一季度,151137.9
2014年第四季度,180828.9
2014年第三季度,165484.7
2014年第二季度,156489.6
2014年第一季度,140759.8
2013年第四季度,167772.3
2013年第三季度,152222.7
2013年第二季度,143518.7
2013年第一季度,129449.6
2012年第四季度,151812
2012年第三季度,138089.6
2012年第二季度,131320.6
2012年第一季度,117357.6
2011年第四季度,138012.1
2011年第三季度,126562.2
2011年第二季度,118895.9
2011年第一季度,104469.9
2010年第四季度,119306.8
2010年第三季度,105963.7
2010年第二季度,99347.4
2010年第一季度,87501.3
2009年第四季度,100825.8
2009年第三季度,89846.9
2009年第二季度,83865.8
2009年第一季度,73979.2
2008年第四季度,88699
2008年第三季度,82460.1
2008年第二季度,78711.8
2008年第一季度,69373.6
2007年第四季度,78669.3
2007年第三季度,69482.1
2007年第二季度,64781.6
2007年第一季度,57159.3
2006年第四季度,63621.6
2006年第三季度,56064.7
2006年第二季度,52673.3
2006年第一季度,47078.9
2005年第四季度,54024.8
2005年第三季度,48047.8
2005年第二季度,44793.1
2005年第一季度,40453.3
2004年第四季度,46739.8
2004年第三季度,41855
2004年第二季度,38700.8
2004年第一季度,34544.6
2003年第四季度,39767.4
2003年第三季度,35291.9
2003年第二季度,32537.3
2003年第一季度,29825.5
2002年第四季度,34970.3
2002年第三季度,31257.3
2002年第二季度,29194.8
2002年第一季度,26295
2001年第四季度,31716.8
2001年第三季度,28333.3
2001年第二季度,26726.6
2001年第一季度,24086.4
2000年第四季度,29194.3
2000年第三季度,25712.5
2000年第二季度,24043.4
2000年第一季度,21329.9
1999年第四季度,26583.9
1999年第三季度,23050.8
1999年第二季度,21567.7
1999年第一季度,19361.9
1998年第四季度,25074.2
1998年第三季度,21775.6
1998年第二季度,20296.6
1998年第一季度,18049.1
1997年第四季度,23361.5
1997年第三季度,20500.9
1997年第二季度,19163.6
1997年第一季度,16689.1
1996年第四季度,21432.4
1996年第三季度,18605.8
1996年第二季度,17147.5
1996年第一季度,14628
1995年第四季度,18451.2
1995年第三季度,16164.1
1995年第二季度,14612.9
1995年第一季度,12111.7
1994年第四季度,14913.3
1994年第三季度,12868
1994年第二季度,11481
1994年第一季度,9375.1
1993年第四季度,11095.9
1993年第三季度,9385.8
1993年第二季度,8357
1993年第一季度,6834.6
1992年第四季度,8254.8
1992年第三季度,7192.6
1992年第二季度,6484.3
1992年第一季度,5262.8
